variant,conn,tcp_hs,tcp_tls,tls_hs,tls_app,app_resp
classic,1,5.173,3.624,4.071,0.149,0.702
classic,2,1.219,3.62,5.012,0.138,0.6
classic,3,1.17,3.16,3.803,0.093,0.782
classic,4,1.003,3.241,3.823,0.132,0.572
classic,5,1.08,2.794,3.6,0.127,0.501
classic,6,0.915,2.621,3.22,0.114,0.632
classic,7,0.973,3.579,4.072,0.144,0.579
classic,8,1.171,2.605,3.459,0.086,0.606
classic,9,1.047,3.269,4.321,0.141,0.604
classic,10,0.993,2.955,3.823,0.107,0.598
classic,11,1.072,3.706,4.087,0.156,0.561
classic,12,1.187,3.607,4.023,0.148,0.706
classic,13,1.026,3.628,3.772,0.134,12.6
classic,14,1.064,4.118,3.997,0.185,0.528
classic,15,1.135,3.558,3.834,0.144,0.563
classic,16,1.06,3.222,3.361,0.121,0.62
classic,17,1.148,2.911,3.261,0.097,0.518
classic,18,9.388,2.7,3.621,0.11,0.694
classic,19,1.101,2.756,3.583,0.11,0.581
classic,20,1.074,2.792,3.947,0.126,0.604
classic,21,1.082,2.782,4.156,0.145,0.605
classic,22,1.19,3.281,4.427,0.17,0.481
classic,23,1.146,2.903,3.647,0.13,0.584
classic,24,1.111,2.669,3.331,0.125,0.702
classic,25,1.071,2.569,3.228,0.101,0.5
classic,26,1.098,3.828,4.145,0.144,0.531
classic,27,0.891,3.652,3.955,0.22,0.49
classic,28,0.791,3.492,3.138,0.105,2.529
classic,29,0.994,3.499,4.15,0.202,0.664
classic,30,0.918,3.048,3.538,0.121,0.56
classic,31,0.963,3.361,3.855,0.12,0.542
classic,32,0.854,3.606,3.942,0.158,0.588
classic,33,0.776,2.374,3.102,0.098,0.447
classic,34,1.001,3.013,3.586,0.114,0.659
classic,35,0.93,2.624,4.36,0.284,0.423
classic,36,0.919,3.131,4.219,0.148,0.6
classic,37,0.854,3.478,4.193,0.173,0.563
classic,38,0.733,2.779,3.325,0.094,0.568
classic,39,0.822,3.254,4.016,0.129,0.534
classic,40,0.854,3.077,4.52,0.141,0.689
classic,41,0.793,2.498,3.681,0.156,0.488
classic,42,0.783,2.876,4.172,0.098,0.588
classic,43,0.904,3.587,3.898,0.12,0.575
classic,44,0.789,2.607,3.064,0.094,0.483
classic,45,0.865,3.643,4.429,0.126,0.58
classic,46,0.878,3.695,5.016,0.151,0.652
classic,47,0.903,5.197,4.429,0.122,0.606
classic,48,1.198,2.69,3.953,0.097,0.569
classic,49,0.94,3.228,4.832,0.161,0.659
classic,50,0.883,3.129,4.588,0.266,0.499
classic,51,0.818,2.847,3.93,0.133,0.564
classic,52,0.926,2.749,4.18,0.156,0.628
classic,53,1.02,3.246,3.305,0.095,0.515
classic,54,0.961,3.218,3.572,0.103,0.472
classic,55,0.943,3.03,3.603,0.095,0.573
classic,56,1.459,3.7,4.37,0.131,0.669
classic,57,0.904,2.738,3.729,0.129,0.5
classic,58,0.847,3.648,3.893,0.144,0.541
classic,59,0.918,2.713,3.489,0.122,0.543
classic,60,0.946,3.068,3.644,0.104,0.499
classic,61,0.994,3.807,4.432,0.143,0.776
classic,62,0.909,2.906,3.549,0.102,0.642
classic,63,1.119,3.103,3.832,0.114,0.566
classic,64,1.052,2.768,4.725,0.135,0.535
classic,65,0.946,2.932,3.857,0.111,0.483
classic,66,2.236,3.3,3.548,0.113,0.554
classic,67,0.957,3.771,4.881,0.134,0.599
classic,68,0.884,3.679,4.654,0.159,0.635
classic,69,0.926,2.866,4.227,0.111,0.606
classic,70,0.921,3.577,3.741,0.127,0.662
classic,71,0.809,3.114,3.478,0.142,0.559
