variant,conn,tcp_hs,tcp_tls,tls_hs,tls_app,app_resp
hybrid,1,6.119,2.987,4.488,0.122,0.874
hybrid,2,1.195,3.834,4.377,0.138,0.601
hybrid,3,1.373,3.522,4.133,0.097,0.672
hybrid,4,1.058,3.758,4.546,0.347,0.44
hybrid,5,1.142,3.635,4.223,0.134,0.65
hybrid,6,1.138,2.72,4.046,0.133,0.715
hybrid,7,1.01,3.225,3.734,0.109,0.451
hybrid,8,1.076,3.568,4.394,0.15,0.624
hybrid,9,0.972,3.716,4.265,0.122,0.639
hybrid,10,0.856,3.161,3.507,0.093,0.455
hybrid,11,0.797,2.911,3.805,0.115,0.679
hybrid,12,0.924,3.069,3.984,0.136,0.623
hybrid,13,0.992,3.395,3.824,0.135,0.57
hybrid,14,0.808,2.751,4.166,0.151,0.541
hybrid,15,0.893,3.737,4.086,0.186,0.697
hybrid,16,0.835,3.523,4.424,0.13,0.588
hybrid,17,0.882,3.856,4.212,0.144,0.691
hybrid,18,0.742,2.486,3.369,0.094,0.489
hybrid,19,0.9,3.584,4.182,0.449,1.571
hybrid,20,0.808,3.216,4.109,0.141,0.801
hybrid,21,0.878,3.622,4.839,0.123,0.687
hybrid,22,0.853,3.106,3.976,0.157,0.545
hybrid,23,0.808,2.732,3.561,0.094,0.58
hybrid,24,0.872,2.499,4.385,0.129,0.566
hybrid,25,0.837,3.175,5.021,0.128,0.642
hybrid,26,0.876,3.841,3.968,0.133,0.682
hybrid,27,0.834,3.264,5.963,0.161,0.667
hybrid,28,0.8,3.06,3.681,0.144,0.705
hybrid,29,0.889,2.727,4.236,0.218,0.518
hybrid,30,0.897,4.073,3.739,0.124,0.557
hybrid,31,1.541,3.857,4.13,0.141,0.641
hybrid,32,0.913,4.101,4.393,0.155,0.486
hybrid,33,0.884,3.341,3.744,0.143,0.628
hybrid,34,0.899,3.03,4.549,0.169,0.631
hybrid,35,0.848,4.034,12.6,0.123,0.562
hybrid,36,0.857,3.885,4.096,0.101,0.529
hybrid,37,0.795,4.812,4.69,0.146,0.59
hybrid,38,0.779,2.914,4.022,0.125,0.466
hybrid,39,0.836,3.199,3.786,0.099,0.526
hybrid,40,0.815,3.015,3.803,0.101,0.646
hybrid,41,0.886,3.017,3.517,0.097,0.74
hybrid,42,0.796,3.648,4.447,0.132,0.456
hybrid,43,0.775,2.54,3.614,0.109,0.501
hybrid,44,0.822,3.039,3.93,0.096,0.651
hybrid,45,0.834,2.958,4.356,0.14,0.564
hybrid,46,0.996,3.424,3.962,0.091,0.579
hybrid,47,0.96,2.772,3.634,0.097,0.641
hybrid,48,1.112,2.851,3.48,0.094,0.49
hybrid,49,0.976,2.847,4.262,0.119,0.487
hybrid,50,0.909,3.573,4.314,0.122,0.571
hybrid,51,0.968,2.824,3.352,0.086,0.634
hybrid,52,0.887,3.347,4.223,0.245,0.454
hybrid,53,1.02,3.349,4.683,0.1,0.657
hybrid,54,0.85,3.032,4.253,0.124,0.714
hybrid,55,0.878,3.829,4.227,0.142,0.582
hybrid,56,0.863,3.726,4.317,0.155,0.663
hybrid,57,0.903,3.185,3.822,0.116,0.537
hybrid,58,0.931,2.604,3.888,0.099,0.487
hybrid,59,0.944,2.691,5.316,0.11,0.574
hybrid,60,0.941,3.077,4.895,0.136,0.676
hybrid,61,1.069,3.007,4.343,0.098,0.785
hybrid,62,0.943,3.612,4.795,0.098,0.729
hybrid,63,0.904,2.801,4.973,0.156,0.602
hybrid,64,0.809,2.605,3.504,0.086,0.553
hybrid,65,0.861,3.363,6.675,0.142,2.096
hybrid,66,1.297,2.706,3.508,0.086,0.606
hybrid,67,0.67,2.947,4.305,0.124,0.415
hybrid,68,0.763,2.966,3.499,0.091,0.514
hybrid,69,0.724,3.309,3.466,0.102,0.474
hybrid,70,0.675,2.587,3.755,0.1,0.678
hybrid,71,0.795,2.825,3.736,0.094,0.622
hybrid,72,0.731,2.475,4.278,0.142,0.558
hybrid,73,0.737,2.628,4.05,0.122,0.521
hybrid,74,0.779,2.481,3.674,0.092,0.659
hybrid,75,0.73,2.931,3.445,0.096,0.403
hybrid,76,0.664,2.464,3.532,0.089,0.531
hybrid,77,0.732,3.693,4.186,0.133,0.541
hybrid,78,0.699,2.547,3.365,0.105,0.47
hybrid,79,0.783,3.514,4.409,0.123,0.538
hybrid,80,0.743,4.046,4.077,0.131,0.574
hybrid,81,0.769,3.457,4.161,0.117,0.74
hybrid,82,0.722,3.606,3.728,0.094,0.657
hybrid,83,0.76,3.763,4.619,0.135,0.593
hybrid,84,0.784,3.821,3.818,0.123,0.504
hybrid,85,0.781,3.122,4.628,0.127,0.6
hybrid,86,0.746,3.78,3.945,0.127,0.642
hybrid,87,0.714,2.844,4.341,0.138,0.585
hybrid,88,0.758,3.944,4.472,0.126,0.611
hybrid,89,0.814,2.99,5.029,0.144,0.636
hybrid,90,0.82,3.147,4.109,0.14,0.53
hybrid,91,0.979,3.025,4.601,0.14,0.588
hybrid,92,0.874,3.104,4.763,0.133,0.593
