variant,run,connections,duration_sec,conn_per_sec
classic,1,15253,61,250.05
hybrid,1,13987,61,229.3
classic,2,15482,61,253.8
hybrid,2,15114,61,247.77
classic,3,16157,61,264.87
hybrid,3,14561,61,238.7
classic,4,14447,61,236.84
hybrid,4,13641,61,223.62
classic,5,14992,61,245.77
hybrid,5,14262,61,233.8
classic,6,15741,61,258.05
hybrid,6,14277,61,234.05
classic,7,16148,61,264.72
hybrid,7,15836,61,259.61
classic,8,16655,61,273.03
hybrid,8,14794,61,242.52
classic,9,16151,61,264.77
hybrid,9,14593,61,239.23
classic,10,15377,61,252.08
hybrid,10,14672,61,240.52
